Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Revenue,Earnings
2012-03-12,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-21,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-29,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-17,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-07,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-14,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-21,,,,,,,,3.2857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-06,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-02,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-04,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-06,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18,,,,,,,,3.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
