Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Revenue,Earnings
2014-12-17,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-22,,,,,,,,4.555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-08,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-27,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-17,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-15,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-27,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-06,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-01-26,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-02-02,,,,,,,,3.8,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-04-10,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-04-20,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-04-23,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-04-24,,,,,,,,3.5,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-04-25,,,,,,,,5.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-05-05,,,,,,,,5.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-06-28,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-07-11,,,,,,,,5.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
2018-07-13,,,,,,,,4.0,2692000000.0,44793000000.0,152502000000.0,10651000000.0,197295000000.0,40247000000.0,2983000000.0,113247000000.0,16641000000.0,16747000000.0,-992000000.0,3352000000.0,10715000000.0,24183000000.0,680000000.0,,-992000000.0,42383000000.0,124308000000.0,7813000000.0,133063000000.0,91156000000.0,18705000000.0,3943000000.0,749000000.0,3137000000.0,110855000000.0,12662000000.0
